Date Applied,Company,Job Title,Platform,Job URL,Match Score,Status,Notes
2026-08-22 10:58:10,Wellfound Startup,Software Engineer,WeWorkRemotely,https://wellfound.com/jobs/4266092-software-engineer,80,Applied,
2026-08-22 10:58:28,Wellfound Startup,Software Engineer,WeWorkRemotely,https://wellfound.com/jobs/4566107-software-engineer,80,Applied,
2026-08-22 10:58:44,Wellfound Startup,Software Engineer (Functional Programming),WeWorkRemotely,https://wellfound.com/jobs/3484692-software-engineer-functional-programming,80,Applied,
